Age,Annual Income (k$),Spending Score (1-100),Gender_Encoded,Cluster,Cluster_Name
19,15,39,0,Cluster 1,"Young High Income, High Spenders (Male)"
21,15,81,0,Cluster 1,"Young High Income, High Spenders (Male)"
20,16,6,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
23,16,77,1,Cluster 0,"Young High Income, High Spenders (Female)"
31,17,40,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
22,17,76,1,Cluster 0,"Young High Income, High Spenders (Female)"
35,18,6,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
23,18,94,1,Cluster 0,"Young High Income, High Spenders (Female)"
64,19,3,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
30,19,72,1,Cluster 0,"Young High Income, High Spenders (Female)"
67,19,14,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
35,19,99,1,Cluster 0,"Young High Income, High Spenders (Female)"
58,20,15,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
24,20,77,1,Cluster 0,"Young High Income, High Spenders (Female)"
37,20,13,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
22,20,79,0,Cluster 1,"Young High Income, High Spenders (Male)"
35,21,35,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
20,21,66,0,Cluster 1,"Young High Income, High Spenders (Male)"
52,23,29,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
35,23,98,1,Cluster 0,"Young High Income, High Spenders (Female)"
35,24,35,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
25,24,73,0,Cluster 1,"Young High Income, High Spenders (Male)"
46,25,5,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
31,25,73,0,Cluster 1,"Young High Income, High Spenders (Male)"
54,28,14,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
29,28,82,0,Cluster 1,"Young High Income, High Spenders (Male)"
45,28,32,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
35,28,61,0,Cluster 1,"Young High Income, High Spenders (Male)"
40,29,31,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
23,29,87,1,Cluster 0,"Young High Income, High Spenders (Female)"
60,30,4,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
21,30,73,1,Cluster 0,"Young High Income, High Spenders (Female)"
53,33,4,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
18,33,92,0,Cluster 1,"Young High Income, High Spenders (Male)"
49,33,14,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
21,33,81,1,Cluster 0,"Young High Income, High Spenders (Female)"
42,34,17,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
30,34,73,1,Cluster 0,"Young High Income, High Spenders (Female)"
36,37,26,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
20,37,75,1,Cluster 0,"Young High Income, High Spenders (Female)"
65,38,35,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
24,38,92,0,Cluster 1,"Young High Income, High Spenders (Male)"
48,39,36,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
31,39,61,1,Cluster 0,"Young High Income, High Spenders (Female)"
49,39,28,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
24,39,65,1,Cluster 0,"Young High Income, High Spenders (Female)"
50,40,55,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
27,40,47,1,Cluster 0,"Young High Income, High Spenders (Female)"
29,40,42,1,Cluster 0,"Young High Income, High Spenders (Female)"
31,40,42,1,Cluster 0,"Young High Income, High Spenders (Female)"
49,42,52,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
33,42,60,0,Cluster 1,"Young High Income, High Spenders (Male)"
31,43,54,1,Cluster 0,"Young High Income, High Spenders (Female)"
59,43,60,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
50,43,45,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
47,43,41,0,Cluster 2,"Older Moderate Income, Moderate Spenders (Male)"
51,44,50,1,Cluster 3,"Older Moderate Income, Moderate Spenders (Female)"
